9,247,2025-10-16,08:32:52
10,317,2025-10-16,08:37:04
11,179,2025-10-16,08:42:27
12,96,2025-10-16,08:45:33
6,41,2025-10-17,07:40:43
7,58,2025-10-17,07:41:28
8,113,2025-10-17,07:42:29
9,136,2025-10-17,07:44:27
10,350,2025-10-17,07:46:47
11,112,2025-10-17,07:52:44
12,93,2025-10-17,07:54:39
1,115,2025-10-20,07:19:58
2,31,2025-10-20,07:21:57
3,86,2025-10-20,07:22:31
4,154,2025-10-20,07:24:00
5,187,2025-10-20,07:26:37
6,271,2025-10-20,07:29:46
7,72,2025-10-20,07:34:21
8,150,2025-10-20,07:35:38
9,124,2025-10-20,07:38:11
10,273,2025-10-20,07:40:21
11,118,2025-10-20,07:44:58
12,106,2025-10-20,07:46:59
1,166,2025-10-22,07:24:52
2,31,2025-10-22,07:27:45
3,87,2025-10-22,07:28:18
4,159,2025-10-22,07:29:46
5,161,2025-10-22,07:32:29
6,286,2025-10-22,07:35:12
7,97,2025-10-22,07:40:03
8,110,2025-10-22,07:41:43
9,111,2025-10-22,07:43:35
10,300,2025-10-22,07:45:32
11,131,2025-10-22,07:50:38
12,87,2025-10-22,07:52:53
1,116,2025-10-24,07:23:25
2,37,2025-10-24,07:25:24
3,82,2025-10-24,07:26:03
4,176,2025-10-24,07:27:27
5,161,2025-10-24,07:30:26
6,235,2025-10-24,07:33:09
7,103,2025-10-24,07:37:09
8,113,2025-10-24,07:38:55
9,82,2025-10-24,07:40:51
10,281,2025-10-24,07:42:18
11,114,2025-10-24,07:47:02
12,94,2025-10-24,07:49:00
